Tweet User,Location,Following,Followers,Total Tweets,Tweet,Time of Tweet,Account Created
unclescrooch,,4124,112236,53898,"Great Movie. Thuso Mbedu is born for the Big Screen. Viola David just ran with this one and took herself to the next level. Such a loveable cast, and great action. I highly recommend WomanKing ",2022-09-28 21:31:28+00:00,2009-12-18 12:24:16+00:00
_Relly_Rel,,932,585,27399,"WomanKing battles were detail orientated with precision strikes, and intense, unexpected moments. The film is a seasoned hint of historical context and African prideMy ★★★★ review of The Woman King on : ",2022-09-28 21:31:18+00:00,2014-03-22 01:18:40+00:00
prosperityullc,,1013,1524,43298,"""The Woman King"" - MUST SEE!!!...Here's why...  via  strongblackwoman softgirlera pickme feminist womanking violadavis loveandmoney prosperityullc",2022-09-28 21:14:06+00:00,2009-01-19 08:09:24+00:00
chawonshik,Umikumamahiku,146,215,49946,Bring the WomanKing to Seoul ,2022-09-28 21:11:23+00:00,2012-09-24 00:44:08+00:00
AshantiOmkar,"London, England",1876,19347,63158,"🔱🧿🎬 Elated by  womankingmovie which made my sensibilities dance. What a treat during the Goddess festival Navaratri 💃🏻 Having grown up in Nigeria 🇳🇬, seeing  as womanking was a dream. Great seeing it with my British Nigerian husband  🙌🏽 ",2022-09-28 21:05:42+00:00,2008-11-13 21:40:32+00:00
mumziejen,"California, USA",687,177,9341,Female empowerment movie through and through.  LOVED it. WomanKing ,2022-09-28 20:58:16+00:00,2012-01-16 09:19:07+00:00
AmazingNerdShow,"Chicago, IL",9288,11268,119663,New! Ep 246! This week we breakdown Ep 1-3 of Andor &amp; Ep 6 of SheHulk! We have reviews for WomanKing &amp; HouseOfTheDragon! We talk MCU &amp; Horror news! Plus we react to AEWGrandSlam! PodernFamily podcast marvel spotifypodcasts ,2022-09-28 20:41:26+00:00,2017-11-27 21:30:50+00:00
Kayleaser_,,0,1,13,"     saw it, awesome! ViolaDavis, woman, WomanKing Blackwomaninmovies",2022-09-28 20:37:55+00:00,2009-06-11 21:07:14+00:00
AnifathRahimi,"République du Bénin, Cotonou",188,194,724,What movie! I'll rewatch it for sure. is clearly a G.O.A.TShout out to all the castWomanKing,2022-09-28 20:19:14+00:00,2018-09-20 18:05:30+00:00
Misfit_Nova,,1449,1899,67098,WomanKing screening ,2022-09-28 20:06:32+00:00,2014-09-21 19:10:44+00:00
ProfWhitmoreEdu,"Boston, MA",1397,748,2416,"The conversations around MalikaAndrews and WomanKing are different in-person from online. Online may not be the best place to get perspective from the entire community. Not to say these opinions are fully outliers, they are just LOUD! There is also a common denominator.",2022-09-28 19:59:25+00:00,2018-06-28 01:37:08+00:00
Surveyflix,🌍,165,244,250,"If you want something said, ask a man; if you want something done, ask a woman ☺Tag a woman who inspires you. womanking woman wisewomen wise surveyflix paidsurvey ",2022-09-28 19:57:43+00:00,2021-02-01 07:35:54+00:00
manif3stx,"Los Angeles, CA",379,214,6407,  Stellar movie!!!!WomanKing,2022-09-28 19:54:28+00:00,2016-04-08 08:04:47+00:00
BeansAndTuna,,4678,375,3481,  Bros v Broettes a battle over the simpking crypto market. Tom &amp; Jim are pro whatever the current thing is! WomanKing MenToo ,2022-09-28 19:51:38+00:00,2021-12-20 22:07:19+00:00
mshamim_hossain,"Dhaka, Bangladesh",980,133,48,Lash Princess False Lash Effect Mascaravisit here to check the prime items on Amazon beauty WomanKing makeup makeupartist makeuptutorial makeuplover      ,2022-09-28 19:40:26+00:00,2022-05-27 16:53:07+00:00
BrianJMather,West Hollywood,487,516,32065,"Go see the WomanKing if you like movies.  If you feel compelled to read a history book or watch a documentary, then do that.  😎✌️",2022-09-28 18:47:25+00:00,2009-11-04 08:29:13+00:00
SibuuuM,Jozi,1797,1114,22709," Our mom  turned 60 and retired from teaching last year, she taught for almost 40 years and was finally recognized as one of the best teachers, still available for her former students, she’s the best mother and a Superwoman  WomanKing",2022-09-28 18:43:52+00:00,2012-03-24 18:20:33+00:00
Hewhothrowsthi2,"Los Angeles, CA",368,90,5439,  Historically accurate womanking,2022-09-28 18:34:54+00:00,2021-08-22 18:44:57+00:00
britteneyscales,,101,63,2357,I finally saw WomanKing — 🤯,2022-09-28 18:33:54+00:00,2020-06-25 19:13:05+00:00
afiba_m,"Cape Town, South Africa",2468,4070,16407,"2 major premieres in one week  this is definitely record broken, never been done in South Africa. I love you brother TheWomanKing WomanKing showmax bloodpsalmsshowmax ",2022-09-28 18:32:23+00:00,2011-02-22 07:53:46+00:00
zouriver,🇻🇪,838,1419,51975,seated for WomanKing 🤭,2022-09-28 18:21:46+00:00,2016-03-26 14:57:32+00:00
MadeinMenlo,Sunny California,103,422,22957,"""We wanted to be authentic to what these women were at the time."" - WomanKing 📽️  For GinaPrinceByTheWood to stateshe wanted to be ""authentic to what these women were"" +    To actually publish it.... knowing the realstory is irresponsible  ",2022-09-28 18:15:42+00:00,2013-06-19 15:16:43+00:00
ShamelDominae,"Pittsburgh, PA",85,115,2304,WomanKing  That’s it. That’s the tweet.,2022-09-28 18:12:27+00:00,2011-09-11 22:18:17+00:00
crushingonpod,Wherever you get your podcast,133,447,4784,"COMPETITION TIME! 🎉We’re giving away 3 WomanKing hampers including a rucksack, sports towel, protein shaker &amp; headband!To enter, tell us what Kingdom the Agojie protect?Comment below &amp; don’t forget to follow us for a chance to win!  ",2022-09-28 18:11:52+00:00,2019-07-01 11:02:39+00:00
MadeinMenlo,Sunny California,103,422,22957,"Artistic License .... Artistic License 📣ViolaDavis 📣 JuliusTenon 📣  proudly declare in flipping thebad guys into good guys narrative in WomanKing Y don't u ✡️  🇩🇪Use that ""Artistic License""in your next film +turn NAZI's into the good guys 🧐  ",2022-09-28 18:05:44+00:00,2013-06-19 15:16:43+00:00
MauraGale,Maura Gale WorldWide,1544,1252,3367,I’ve seen it twice with 2 different groups and will be attending with a 3rd group!WomanKing ViolaDavis ,2022-09-28 17:58:35+00:00,2012-09-20 18:04:18+00:00
MadeinMenlo,Sunny California,103,422,22957,"ViolaDavis + TheWomanKing  +crew 📽️twisted ""The Hero's Journey""by turning violent oppressors into hero'sThe Director 🇩🇪 ✡️might as well have turned NAZI's into the good guysWomanKing is a sham movie +   Should not celebrate but condemn ",2022-09-28 17:54:08+00:00,2013-06-19 15:16:43+00:00
Franglais27,"London, United Kingdom",5000,3246,45253,Live this African feast with fiod before tonight's preview screening of  film WomanKing womeninfilm filmsbywomen ,2022-09-28 17:54:06+00:00,2013-07-06 11:31:22+00:00
TexwellTheWiz,Not an official rep of: ,846,2130,35293,"  Did the WomanKing’s have to pull out peoples jaw bones, behead the elderly and cut of male genitals as trophies? Was this a requirement of their European overlords or was it their own particular demented fancy?",2022-09-28 17:49:30+00:00,2013-10-27 21:04:06+00:00
AmazingNerdShow,"Chicago, IL",9288,11268,119663,New! Ep 246! This week we breakdown Ep 1-3 of Andor &amp; Ep 6 of SheHulk! We have reviews for WomanKing &amp; HouseOfTheDragon! We talk MCU &amp; Horror news! Plus we react to AEWGrandSlam! PodernFamily podcast marvelPodbean:Apple: ,2022-09-28 17:49:27+00:00,2017-11-27 21:30:50+00:00
FirstWorkMedia,Chicago,832,1091,12095,Don't get your history from Hollywood. 💪🏿💪🏿💪🏿 TheWomenKing WomanKing ,2022-09-28 17:14:45+00:00,2011-12-07 16:41:58+00:00
PeaceMessenger1,,4351,3103,35914,Pure joy! Badass WomanKing ,2022-09-28 16:58:39+00:00,2012-02-01 01:23:43+00:00
fkathatnsh,DTX,653,776,92187,Watched WomanKing yesterday now I have to watch the documentary with Lupita today.,2022-09-28 16:40:48+00:00,2009-07-03 16:57:51+00:00
RAWCognizance,,109,57,87,"Tim exposes a problem with the film, The Woman King, and how it's largely inaccurate. Watch the full clip on Youtube now! Link: WomanKing TheWomanKing RAWCognizance ",2022-09-28 16:25:11+00:00,2022-05-17 17:23:15+00:00
JerrellZod,At Gold's Gym making gains.,631,1274,178510,He was a straight savage in the WomanKing .Oba's type of brotha you would've hate to run into during then &amp; now. The name Oba maybe a nod Nigerian rulers.🤔To the people who want to sit up here &amp; say it's not realistic. PLEASE believe it Black folks sold their own to Europeans. ,2022-09-28 16:24:53+00:00,2015-08-21 17:45:52+00:00
AhmedRashardX,"Indianapolis, IN., USA",1480,353,29296,The Woman King: Some Observations For Our Consideration DivineTruth GodsAtWar Exopolitics Hollywood WomanKing  via ,2022-09-28 16:12:48+00:00,2011-07-07 20:21:29+00:00
jazz62988100,Hotlanta,229,257,546,BLACK LIVES MATTER HAS BECOME A BAD WORD. HOTEP HAS BECOME A BAD WORD/INSULT AND NOW THRU MEDIA AND HISTORICAL MANIPULATION THEY WILL FIND A WAY TO BLAME BLACKS FOR THE SLAVE TRADE. YOU NIGGAS GOT SO MANY CONSPIRACY THEORIES BUT DON'T SEE THE SETUP🤔 wednesdaythought WomanKing,2022-09-28 16:09:47+00:00,2022-09-04 18:52:33+00:00
